order_id,customer_id,timestamp,order_amount,item_count,distinct_categories,high_resale_ratio,wardrobing_flag,discount_percentage,account_age_days,historical_orders,historical_return_rate,historical_chargebacks,delivery_address_changes_30d,billing_shipping_mismatch,ip_distance_to_billing_km,device_trust_score,checkout_duration_sec,payment_velocity_24h,card_is_prepaid,card_country_mismatch,margin_amount,loss_amount,is_return_abuse,is_chargeback,is_risk_target
ORD-114185,CUST-02745,2026-06-01 01:04:30,198.58,2,1,0.142,0,0.0,207.3,7,0.249,0,0,0,47.0,0.947,65.1,1,0,1,69.5,0.0,0,0,0
ORD-109901,CUST-06102,2026-06-01 01:09:16,60.83,1,1,0.301,0,0.1,6.8,1,0.159,0,0,0,11.2,0.87,79.2,1,0,0,21.29,0.0,0,0,0
ORD-102391,CUST-01094,2026-06-01 01:15:16,23.6,3,3,0.128,1,0.5,118.3,5,0.112,0,0,0,69.9,0.789,23.7,1,0,0,8.26,0.0,0,0,0
ORD-111481,CUST-06420,2026-06-01 01:18:26,51.77,1,1,0.1,0,0.15,232.2,11,0.233,0,1,1,8.0,0.839,81.4,1,0,0,18.12,0.0,0,0,0
ORD-113592,CUST-03752,2026-06-01 01:24:40,42.69,5,2,0.019,0,0.1,138.0,5,0.286,0,0,0,25.5,0.881,30.8,1,0,0,14.94,0.0,0,0,0
ORD-111811,CUST-06086,2026-06-01 01:30:54,82.97,1,1,0.22,0,0.0,842.6,34,0.179,0,0,1,33.4,0.877,241.9,1,0,1,29.04,44.89,1,0,1
ORD-108631,CUST-04817,2026-06-01 01:41:35,10.0,1,1,0.449,0,0.0,281.4,14,0.151,0,1,0,27.1,0.762,235.8,1,0,0,3.5,0.0,0,0,0
ORD-112885,CUST-06161,2026-06-01 01:52:01,210.22,1,1,0.475,0,0.0,31.2,0,0.135,0,0,0,82.7,0.734,59.1,1,0,0,73.58,0.0,0,0,0
ORD-104688,CUST-03485,2026-06-01 01:54:59,16.8,8,2,0.112,0,0.2,3.7,0,0.006,1,1,1,79.5,0.59,36.2,1,0,0,5.88,25.04,1,0,1
ORD-101170,CUST-01857,2026-06-01 02:00:05,27.91,3,1,0.176,0,0.1,85.6,3,0.041,0,1,0,41.6,0.741,41.4,1,0,0,9.77,0.0,0,0,0
ORD-101529,CUST-05343,2026-06-01 02:09:20,55.09,3,1,0.087,0,0.15,407.2,21,0.203,0,0,0,86.6,0.753,38.8,2,0,0,19.28,0.0,0,0,0
ORD-102355,CUST-06324,2026-06-01 02:13:26,57.98,6,2,0.095,0,0.0,322.8,17,0.032,0,0,0,22.5,0.827,45.3,1,0,0,20.29,0.0,0,0,0
ORD-100105,CUST-06766,2026-06-01 02:24:44,145.62,1,1,0.19,0,0.3,596.3,27,0.191,0,1,0,23.6,0.785,189.2,1,0,0,50.97,0.0,0,0,0
ORD-113667,CUST-05026,2026-06-01 02:28:11,86.29,2,2,0.468,0,0.1,147.7,11,0.462,0,0,0,70.2,0.865,89.3,1,0,0,30.2,0.0,0,0,0
ORD-101644,CUST-01245,2026-06-01 02:35:18,55.38,4,1,0.069,0,0.1,245.3,15,0.048,0,0,0,0.6,0.975,43.2,1,0,0,19.38,0.0,0,0,0
ORD-111236,CUST-01399,2026-06-01 02:53:19,92.78,1,1,0.037,0,0.15,179.4,7,0.133,0,0,0,70.5,0.876,67.0,1,0,0,32.47,0.0,0,0,0
ORD-113521,CUST-01503,2026-06-01 02:55:37,45.55,5,2,0.394,0,0.0,133.5,6,0.044,0,0,0,26.6,0.766,38.2,1,0,0,15.94,0.0,0,0,0
ORD-108836,CUST-03329,2026-06-01 02:58:18,94.48,2,2,0.364,0,0.0,11.7,0,0.305,0,0,0,6.5,0.925,55.6,1,0,0,33.07,0.0,0,0,0
ORD-100300,CUST-02376,2026-06-01 03:00:44,55.96,1,1,0.21,0,0.15,23.3,1,0.392,0,2,0,25.4,0.809,61.3,1,0,0,19.59,0.0,0,0,0
ORD-102895,CUST-06636,2026-06-01 03:06:14,77.04,4,3,0.667,0,0.0,42.1,1,0.064,0,0,0,40.6,0.756,102.4,1,0,0,26.96,0.0,0,0,0
ORD-108872,CUST-06427,2026-06-01 03:09:29,68.52,3,3,0.024,0,0.0,37.0,1,0.372,0,0,0,132.5,0.983,29.6,2,0,0,23.98,0.0,0,0,0
ORD-114490,CUST-01118,2026-06-01 03:11:06,66.12,2,2,0.012,0,0.1,100.5,5,0.039,0,0,0,42.1,0.644,60.1,1,0,0,23.14,0.0,0,0,0
ORD-114547,CUST-04811,2026-06-01 03:20:36,44.53,2,2,0.008,1,0.0,187.0,3,0.184,0,0,0,9.9,0.734,59.0,1,0,0,15.59,0.0,0,0,0
ORD-109710,CUST-03582,2026-06-01 03:34:31,20.65,2,2,0.595,0,0.1,203.4,7,0.18,0,0,0,8.2,0.767,48.6,1,1,0,7.23,0.0,0,0,0
ORD-114674,CUST-01289,2026-06-01 03:49:53,161.12,1,1,0.078,0,0.2,393.2,14,0.193,0,0,0,18.7,0.937,27.4,1,0,0,56.39,0.0,0,0,0
ORD-111501,CUST-04297,2026-06-01 03:49:55,25.27,4,2,0.27,1,0.0,93.2,3,0.06,0,0,0,63.5,0.915,77.7,1,0,0,8.84,27.58,1,0,1
ORD-114953,CUST-05402,2026-06-01 03:50:44,42.3,1,1,0.203,0,0.15,384.0,18,0.228,0,0,0,11.6,0.793,42.9,1,0,0,14.8,0.0,0,0,0
ORD-110103,CUST-02334,2026-06-01 03:51:00,214.29,2,1,0.447,0,0.1,997.4,35,0.153,0,0,0,91.8,0.936,144.5,1,0,0,75.0,0.0,0,0,0
ORD-106549,CUST-03048,2026-06-01 03:55:15,46.97,2,1,0.241,0,0.0,40.0,1,0.084,0,0,0,105.4,0.918,330.0,1,0,0,16.44,0.0,0,0,0
ORD-100353,CUST-01821,2026-06-01 03:58:50,121.41,1,1,0.147,0,0.15,269.7,11,0.098,0,1,0,89.4,0.936,29.6,1,0,0,42.49,56.42,1,0,1
ORD-111889,CUST-04426,2026-06-01 04:01:24,95.45,3,2,0.003,0,0.0,206.5,7,0.115,0,1,0,5.0,0.795,23.4,1,0,0,33.41,48.64,1,0,1
ORD-103294,CUST-03924,2026-06-01 04:32:47,16.32,3,2,0.33,1,0.1,196.1,9,0.107,0,0,0,9.0,0.855,46.2,1,0,0,5.71,0.0,0,0,0
ORD-106847,CUST-04643,2026-06-01 05:03:50,24.0,2,1,0.007,0,0.0,135.6,2,0.052,0,2,0,19.3,0.96,121.6,1,0,0,8.4,0.0,0,0,0
ORD-105136,CUST-05101,2026-06-01 05:09:26,152.66,1,1,0.148,0,0.0,119.3,3,0.048,0,0,0,5.1,0.812,109.8,1,0,0,53.43,0.0,0,0,0
ORD-114439,CUST-02243,2026-06-01 05:21:31,114.83,1,1,0.15,0,0.1,267.2,14,0.068,0,0,0,15.9,0.949,31.8,1,0,1,40.19,0.0,0,0,0
ORD-114026,CUST-03581,2026-06-01 05:49:28,125.93,1,1,0.062,0,0.1,108.0,6,0.025,0,0,0,4.7,0.811,54.9,1,0,0,44.08,0.0,0,0,0
ORD-110149,CUST-05970,2026-06-01 05:56:30,107.71,1,1,0.218,0,0.1,488.9,12,0.34,0,1,0,3.2,0.801,18.9,1,0,0,37.7,0.0,0,0,0
ORD-101092,CUST-04675,2026-06-01 06:02:46,264.77,1,1,0.03,0,0.0,263.2,15,0.15,0,1,0,114.4,0.975,12.3,1,0,0,92.67,0.0,0,0,0
ORD-106836,CUST-05667,2026-06-01 06:15:10,61.32,2,2,0.049,0,0.2,43.6,1,0.037,0,0,0,71.9,0.666,41.0,1,0,0,21.46,0.0,0,0,0
ORD-102101,CUST-01134,2026-06-01 06:19:14,39.8,4,4,0.51,0,0.0,617.5,32,0.044,0,0,0,11.0,0.796,91.5,2,0,0,13.93,0.0,0,0,0
ORD-106007,CUST-06601,2026-06-01 06:19:58,75.79,3,2,0.089,0,0.0,183.6,7,0.168,0,1,0,38.9,0.782,67.3,1,0,0,26.53,0.0,0,0,0
ORD-114670,CUST-01358,2026-06-01 06:22:39,203.63,4,3,0.161,0,0.2,124.7,3,0.041,0,1,0,28.6,0.919,55.9,1,0,0,71.27,0.0,0,0,0
ORD-114327,CUST-06152,2026-06-01 06:34:22,27.66,1,1,0.17,0,0.15,133.3,1,0.349,0,0,0,69.6,0.735,81.1,3,0,0,9.68,28.3,1,0,1
ORD-111753,CUST-02413,2026-06-01 06:35:50,161.03,5,4,0.267,0,0.3,334.7,11,0.215,0,0,0,9.3,0.773,37.9,3,0,1,56.36,0.0,0,0,0
ORD-107618,CUST-01725,2026-06-01 06:36:24,131.67,5,1,0.012,1,0.1,342.1,14,0.404,0,0,0,38.0,0.407,44.0,1,0,1,46.08,59.5,1,0,1
ORD-108678,CUST-01741,2026-06-01 06:40:24,72.07,1,1,0.129,0,0.2,310.4,21,0.026,0,1,0,53.6,0.878,77.5,1,0,0,25.22,0.0,0,0,0
ORD-101112,CUST-05279,2026-06-01 06:53:10,230.85,2,2,0.471,1,0.1,64.5,2,0.397,0,2,0,56.7,0.827,51.1,1,1,0,80.8,0.0,0,0,0
ORD-113485,CUST-03514,2026-06-01 06:55:10,86.15,1,1,0.153,0,0.15,380.6,18,0.215,0,1,0,19.9,0.843,20.0,1,0,0,30.15,0.0,0,0,0
ORD-103632,CUST-01777,2026-06-01 06:55:15,314.18,2,2,0.528,1,0.0,42.2,2,0.21,0,0,1,43.2,0.708,42.5,1,0,0,109.96,0.0,0,0,0
ORD-114880,CUST-01201,2026-06-01 07:07:47,15.91,4,1,0.448,0,0.0,9.7,0,0.141,0,0,0,2.2,0.833,72.9,1,0,0,5.57,0.0,0,0,0
ORD-112940,CUST-03928,2026-06-01 07:11:56,70.41,6,3,0.324,1,0.0,85.0,3,0.0,0,0,0,26.4,0.616,42.7,1,0,0,24.64,0.0,0,0,0
ORD-101224,CUST-06966,2026-06-01 07:22:53,34.25,3,2,0.075,0,0.0,719.9,31,0.145,0,0,0,18.6,0.957,63.7,2,0,0,11.99,0.0,0,0,0
ORD-110120,CUST-03760,2026-06-01 07:27:30,142.83,1,1,0.296,0,0.1,351.9,13,0.151,0,0,0,1.3,0.734,248.4,1,0,0,49.99,0.0,0,0,0
ORD-109257,CUST-05253,2026-06-01 07:50:24,64.38,4,4,0.498,0,0.2,70.3,6,0.148,0,0,0,4.7,0.844,56.5,1,0,0,22.53,0.0,0,0,0
ORD-110527,CUST-02792,2026-06-01 08:15:06,46.31,1,1,0.286,0,0.2,219.4,12,0.244,0,0,0,19.1,0.925,60.2,1,0,0,16.21,0.0,0,0,0
ORD-105620,CUST-01503,2026-06-01 08:17:35,186.93,1,1,0.094,0,0.1,54.5,4,0.008,0,0,0,31.6,0.645,39.5,1,0,0,65.43,0.0,0,0,0
ORD-109894,CUST-01910,2026-06-01 08:22:03,105.3,4,1,0.257,0,0.0,318.3,14,0.172,0,0,0,3.7,0.784,102.9,1,0,0,36.85,0.0,0,0,0
ORD-103794,CUST-04905,2026-06-01 08:24:15,50.15,2,1,0.014,0,0.5,336.7,19,0.11,0,0,0,33.5,0.799,31.7,1,1,0,17.55,0.0,0,0,0
ORD-100182,CUST-06205,2026-06-01 08:38:42,190.4,3,1,0.092,0,0.1,31.1,2,0.071,0,1,0,5.1,0.874,146.3,1,0,0,66.64,77.12,1,0,1
ORD-105901,CUST-06127,2026-06-01 08:44:50,35.28,2,2,0.097,0,0.15,250.6,5,0.081,0,0,0,7.8,0.76,119.6,1,0,0,12.35,0.0,0,0,0
ORD-100925,CUST-06916,2026-06-01 08:49:55,121.33,1,1,0.405,0,0.1,139.4,8,0.331,0,0,0,9.2,0.693,13.4,1,0,0,42.47,0.0,0,0,0
ORD-108080,CUST-01849,2026-06-01 08:55:57,60.74,1,1,0.269,0,0.0,167.4,2,0.022,0,0,1,10.0,0.87,74.0,1,0,0,21.26,0.0,0,0,0
ORD-104316,CUST-03693,2026-06-01 09:07:30,124.17,1,1,0.154,0,0.0,49.7,1,0.167,0,1,0,50.1,0.863,24.1,1,0,0,43.46,0.0,0,0,0
ORD-106899,CUST-03451,2026-06-01 09:13:00,82.32,1,1,0.084,0,0.2,97.4,3,0.23,0,0,0,82.3,0.929,71.7,1,0,0,28.81,0.0,0,0,0
ORD-111166,CUST-03872,2026-06-01 09:35:03,46.69,1,1,0.167,0,0.0,191.9,7,0.056,0,0,0,20.6,0.6,218.5,3,0,0,16.34,0.0,0,0,0
ORD-109813,CUST-04325,2026-06-01 09:51:30,86.13,3,3,0.068,0,0.3,73.5,4,0.022,0,0,0,31.2,0.966,55.7,1,0,0,30.15,0.0,0,0,0
ORD-114568,CUST-01289,2026-06-01 09:55:53,131.93,3,1,0.781,0,0.15,551.2,25,0.145,0,0,0,32.5,0.836,24.3,4,0,0,46.18,0.0,0,0,0
ORD-105214,CUST-06874,2026-06-01 10:01:44,241.34,6,2,0.242,0,0.0,353.8,11,0.233,0,0,0,67.8,0.746,36.3,1,0,0,84.47,0.0,0,0,0
ORD-114555,CUST-04129,2026-06-01 10:05:20,21.34,2,1,0.013,0,0.0,75.3,4,0.061,0,0,0,1.5,0.912,62.9,1,0,0,7.47,0.0,0,0,0
ORD-101155,CUST-02128,2026-06-01 10:17:49,10.0,2,2,0.368,0,0.15,242.0,13,0.095,0,0,0,104.1,0.913,75.4,1,0,0,3.5,23.0,1,0,1
ORD-113073,CUST-04252,2026-06-01 10:29:44,81.16,1,1,0.318,0,0.1,50.9,2,0.172,0,2,0,27.0,0.717,100.8,1,1,0,28.41,0.0,0,0,0
ORD-102117,CUST-05782,2026-06-01 10:35:16,208.31,1,1,0.306,0,0.0,146.1,6,0.102,0,1,0,12.0,0.649,54.7,1,0,0,72.91,0.0,0,0,0
ORD-102929,CUST-05902,2026-06-01 10:40:40,59.46,2,2,0.026,1,0.0,351.9,10,0.071,1,0,0,29.0,0.791,253.8,2,0,1,20.81,37.84,1,0,1
ORD-109627,CUST-01011,2026-06-01 10:46:55,22.97,3,2,0.229,0,0.0,227.2,6,0.031,0,0,0,64.0,0.787,17.2,1,0,0,8.04,0.0,0,0,0
ORD-100826,CUST-01670,2026-06-01 11:04:09,33.47,1,1,0.283,0,0.0,632.0,19,0.309,0,0,0,4.1,0.845,43.6,1,0,0,11.71,0.0,0,0,0
ORD-100883,CUST-02928,2026-06-01 11:04:37,89.85,1,1,0.584,0,0.0,6.0,1,0.306,0,1,0,3.2,0.962,48.1,1,0,0,31.45,0.0,0,0,0
ORD-107438,CUST-01150,2026-06-01 11:09:14,114.93,5,3,0.251,0,0.2,65.5,3,0.147,0,0,0,85.2,0.768,56.0,1,0,0,40.23,0.0,0,0,0
ORD-107738,CUST-05746,2026-06-01 11:17:15,117.11,1,1,0.002,0,0.5,59.5,5,0.085,0,0,0,31.5,0.847,46.7,1,0,0,40.99,0.0,0,0,0
ORD-107554,CUST-02826,2026-06-01 11:24:00,36.59,4,2,0.402,0,0.0,157.3,6,0.36,0,1,0,1.2,0.841,26.9,1,0,0,12.81,0.0,0,0,0
ORD-100007,CUST-04520,2026-06-01 11:29:33,70.09,1,1,0.351,0,0.15,16.0,1,0.036,0,0,0,42.9,0.741,9.7,1,0,0,24.53,0.0,0,0,0
ORD-108657,CUST-01120,2026-06-01 11:42:33,37.74,2,2,0.046,0,0.0,193.6,8,0.092,0,0,1,25.5,0.756,435.2,1,0,0,13.21,0.0,0,0,0
ORD-113534,CUST-02673,2026-06-01 11:46:23,188.84,6,3,0.195,0,0.0,91.2,1,0.003,0,0,0,4.5,0.962,48.1,1,0,0,66.09,0.0,0,0,0
ORD-108523,CUST-03391,2026-06-01 11:57:55,418.09,1,1,0.149,0,0.2,43.6,2,0.081,0,1,0,20.2,0.93,57.8,1,0,0,146.33,0.0,0,0,0
ORD-108224,CUST-06792,2026-06-01 12:11:03,98.68,1,1,0.002,0,0.15,571.2,16,0.419,0,0,0,60.3,0.83,28.1,1,0,0,34.54,0.0,0,0,0
ORD-108021,CUST-03837,2026-06-01 12:22:12,56.93,1,1,0.08,0,0.1,173.2,4,0.087,0,0,0,44.3,0.907,81.2,1,0,0,19.93,0.0,0,0,0
ORD-107206,CUST-03653,2026-06-01 12:55:55,33.93,1,1,0.115,0,0.1,51.7,4,0.344,0,0,0,49.4,0.765,25.9,1,0,0,11.88,0.0,0,0,0
ORD-108261,CUST-03971,2026-06-01 12:59:02,77.57,2,1,0.021,0,0.0,23.4,1,0.14,0,0,0,24.8,0.95,26.7,1,1,0,27.15,0.0,0,0,0
ORD-113814,CUST-02893,2026-06-01 13:00:41,154.76,4,2,0.25,0,0.0,48.9,2,0.204,0,0,0,63.8,0.649,84.8,1,0,0,54.17,0.0,0,0,0
ORD-103334,CUST-06232,2026-06-01 13:01:11,21.56,2,1,0.143,0,0.1,55.2,1,0.031,0,0,0,41.0,0.942,54.2,1,0,0,7.55,0.0,0,0,0
ORD-101042,CUST-03989,2026-06-01 13:16:30,267.74,1,1,0.154,0,0.15,392.0,16,0.053,0,0,0,15.7,0.846,66.4,1,0,0,93.71,0.0,0,0,0
ORD-106114,CUST-01488,2026-06-01 13:18:00,54.41,2,2,0.126,0,0.0,197.8,8,0.228,0,0,0,86.5,0.891,53.2,2,1,0,19.04,79.41,0,1,1
ORD-104227,CUST-01882,2026-06-01 13:22:03,204.73,1,1,0.099,0,0.2,114.5,5,0.009,0,0,0,50.6,0.932,113.0,1,0,0,71.66,0.0,0,0,0
ORD-107283,CUST-06175,2026-06-01 13:34:44,75.09,2,1,0.236,0,0.1,38.9,1,0.057,0,0,0,69.0,0.731,66.1,1,0,0,26.28,0.0,0,0,0
ORD-109009,CUST-01776,2026-06-01 13:35:31,136.47,1,1,0.062,0,0.0,173.4,10,0.395,0,1,0,0.2,0.92,56.1,1,0,0,47.76,0.0,0,0,0
ORD-103018,CUST-02351,2026-06-01 13:40:40,75.0,2,2,0.166,0,0.1,130.6,6,0.04,0,0,0,6.5,0.789,36.1,1,0,0,26.25,0.0,0,0,0
ORD-113366,CUST-02013,2026-06-01 13:47:25,327.89,1,1,0.423,0,0.5,243.6,11,0.113,0,0,0,120.5,0.796,130.7,1,0,0,114.76,0.0,0,0,0
ORD-108839,CUST-02221,2026-06-01 13:47:44,72.25,6,2,0.183,0,0.0,633.0,23,0.164,0,0,0,10.7,0.946,103.6,1,0,0,25.29,0.0,0,0,0
ORD-111740,CUST-04506,2026-06-01 13:49:17,20.59,2,1,0.458,0,0.1,87.5,5,0.118,0,0,0,40.6,0.861,37.0,1,0,0,7.21,0.0,0,0,0
ORD-108072,CUST-03709,2026-06-01 13:53:33,97.03,3,3,0.389,0,0.0,135.0,7,0.254,0,0,0,13.2,0.928,54.6,2,0,0,33.96,0.0,0,0,0
ORD-111216,CUST-02568,2026-06-01 14:03:04,69.06,1,1,0.06,0,0.0,72.5,1,0.008,0,0,0,2.1,0.835,32.8,1,1,1,24.17,0.0,0,0,0
ORD-100719,CUST-02999,2026-06-01 14:08:52,113.4,3,1,0.067,0,0.0,34.2,4,0.186,0,0,0,21.1,0.875,38.4,1,0,0,39.69,54.02,1,0,1
ORD-112092,CUST-02779,2026-06-01 14:11:32,207.19,3,3,0.075,0,0.0,71.1,4,0.081,0,0,0,0.0,0.988,19.4,1,0,0,72.52,0.0,0,0,0
ORD-109941,CUST-04599,2026-06-01 14:41:00,81.76,1,1,0.144,0,0.5,698.5,25,0.057,0,0,0,29.6,0.806,17.7,1,0,0,28.62,0.0,0,0,0
ORD-114526,CUST-05382,2026-06-01 15:07:46,120.06,1,1,0.314,0,0.0,107.8,2,0.135,0,1,0,42.4,0.843,82.3,1,0,0,42.02,0.0,0,0,0
ORD-110516,CUST-03929,2026-06-01 15:11:12,31.97,1,1,0.134,0,0.0,171.4,7,0.204,0,1,0,98.5,0.956,38.7,1,0,0,11.19,0.0,0,0,0
ORD-105734,CUST-02635,2026-06-01 15:33:43,385.73,2,2,0.164,0,0.1,193.7,8,0.157,0,0,0,7.6,0.627,16.9,1,0,0,135.01,0.0,0,0,0
ORD-109599,CUST-06039,2026-06-01 15:41:40,145.6,4,2,0.053,0,0.15,70.2,3,0.219,0,0,1,1.9,0.649,47.3,1,0,0,50.96,0.0,0,0,0
ORD-114258,CUST-04304,2026-06-01 15:45:12,22.57,1,1,0.027,0,0.0,748.9,34,0.101,0,0,0,39.3,0.956,65.1,1,0,0,7.9,0.0,0,0,0
ORD-107675,CUST-01246,2026-06-01 15:52:26,189.75,2,2,0.393,0,0.0,183.3,3,0.075,0,0,1,23.5,0.932,21.8,1,0,0,66.41,0.0,0,0,0
ORD-110919,CUST-04394,2026-06-01 16:02:04,231.41,1,1,0.118,0,0.0,235.9,6,0.133,0,0,0,50.6,0.768,58.5,1,0,0,80.99,0.0,0,0,0
ORD-109091,CUST-06923,2026-06-01 16:19:27,45.65,2,1,0.391,0,0.3,142.8,7,0.335,0,0,0,67.0,0.859,102.5,2,0,0,15.98,0.0,0,0,0
ORD-101362,CUST-04858,2026-06-01 16:28:51,20.86,3,3,0.34,1,0.15,60.1,2,0.057,0,0,0,126.2,0.787,14.3,1,0,0,7.3,0.0,0,0,0
ORD-107737,CUST-05483,2026-06-01 16:35:38,67.94,5,1,0.129,0,0.0,616.2,30,0.141,0,0,1,50.2,0.98,52.5,1,0,0,23.78,0.0,0,0,0
ORD-111483,CUST-04649,2026-06-01 16:42:37,275.41,2,2,0.3,0,0.15,204.9,10,0.212,0,0,0,102.3,0.873,15.0,1,0,1,96.39,0.0,0,0,0
ORD-110651,CUST-04102,2026-06-01 16:55:42,59.45,1,1,0.076,0,0.1,690.9,32,0.097,0,0,0,37.1,0.924,13.7,3,0,0,20.81,0.0,0,0,0
ORD-108242,CUST-02240,2026-06-01 17:08:51,244.63,2,2,0.146,1,0.0,283.8,13,0.159,0,0,0,84.1,0.858,54.9,1,0,0,85.62,0.0,0,0,0
ORD-105513,CUST-04149,2026-06-01 17:21:16,59.53,2,2,0.198,1,0.1,506.7,13,0.366,0,0,0,44.2,0.898,145.3,1,0,0,20.84,0.0,0,0,0
ORD-111095,CUST-05471,2026-06-01 17:25:01,29.25,1,1,0.15,0,0.1,160.0,2,0.137,0,0,0,48.0,0.861,15.6,1,0,0,10.24,0.0,0,0,0
ORD-102846,CUST-02760,2026-06-01 17:32:54,32.62,1,1,0.075,0,0.0,111.4,5,0.084,0,0,0,30.6,0.897,106.0,1,0,0,11.42,0.0,0,0,0
ORD-107151,CUST-02913,2026-06-01 17:34:36,143.72,1,1,0.258,0,0.5,368.4,15,0.005,0,2,1,4.3,0.673,42.7,2,0,0,50.3,63.12,1,0,1
ORD-114565,CUST-02227,2026-06-01 17:36:00,50.13,1,1,0.116,0,0.0,151.0,5,0.045,1,0,0,24.1,0.784,33.5,1,0,0,17.55,35.04,1,0,1
ORD-103930,CUST-06486,2026-06-01 17:50:05,10.0,4,1,0.198,0,0.0,33.1,4,0.191,0,0,0,39.3,0.919,169.1,1,0,0,3.5,0.0,0,0,0
ORD-101127,CUST-04010,2026-06-01 18:07:45,60.58,3,3,0.066,0,0.1,23.8,0,0.355,0,0,0,30.8,0.945,40.5,1,1,0,21.2,0.0,0,0,0
ORD-110567,CUST-02889,2026-06-01 18:08:34,169.57,3,1,0.174,0,0.1,475.8,18,0.053,0,1,0,13.1,0.532,21.8,3,0,0,59.35,0.0,0,0,0
ORD-107787,CUST-04041,2026-06-01 18:13:59,55.13,1,1,0.271,0,0.0,105.6,4,0.159,0,0,0,17.3,0.767,51.5,3,1,0,19.3,0.0,0,0,0
ORD-113323,CUST-01985,2026-06-01 18:14:14,177.53,1,1,0.251,0,0.0,212.8,7,0.168,0,0,0,11.1,0.837,49.1,2,0,0,62.14,0.0,0,0,0
ORD-105556,CUST-01032,2026-06-01 18:24:15,61.1,1,1,0.298,0,0.1,310.8,11,0.119,0,0,0,37.0,0.931,57.8,1,0,0,21.38,0.0,0,0,0
ORD-104417,CUST-03926,2026-06-01 18:25:59,12.25,4,3,0.319,0,0.1,135.2,1,0.113,0,0,0,120.0,0.869,99.2,1,0,0,4.29,0.0,0,0,0
ORD-102482,CUST-06412,2026-06-01 18:30:44,104.41,2,2,0.247,0,0.3,525.1,14,0.029,0,0,0,24.5,0.8,63.5,1,0,0,36.54,0.0,0,0,0
ORD-112803,CUST-06838,2026-06-01 18:31:53,135.68,2,1,0.058,0,0.15,298.9,11,0.112,0,0,0,87.2,0.595,30.0,1,0,0,47.49,160.68,0,1,1
ORD-104379,CUST-03492,2026-06-01 18:36:31,75.73,1,1,0.008,0,0.15,40.3,0,0.014,1,0,0,150.3,0.783,10.5,1,1,0,26.51,100.73,0,1,1
ORD-113017,CUST-04304,2026-06-01 18:52:52,280.31,1,1,0.497,0,0.0,470.4,19,0.165,0,0,0,47.8,0.737,98.9,1,0,0,98.11,0.0,0,0,0
ORD-101756,CUST-04301,2026-06-01 18:54:49,146.69,5,3,0.003,0,0.2,405.3,18,0.028,0,1,0,83.7,0.811,36.7,1,0,0,51.34,0.0,0,0,0
ORD-104233,CUST-02419,2026-06-01 19:08:14,274.92,2,2,0.295,0,0.1,112.0,7,0.195,0,1,0,18.5,0.91,50.2,1,1,0,96.22,0.0,0,0,0
